Depth_m	Gas_Age_AD	CH4_ppb
84.00	1680.30	691.580261
85.60	1664.00	687.988088
87.20	1647.70	691.0747841
88.80	1630.00	688.2095309
90.40	1613.00	690.4719009
92.70	1589.15	684.1367919
93.60	1577.70	703.3921787
95.20	1559.10	733.9571706
96.80	1540.90	722.5992249
98.40	1521.60	708.4158821
100.00	1502.10	697.6040636
101.50	1483.80	697.8894401
102.40	1473.50	685.710511
104.00	1454.50	675.6061921
105.60	1435.60	686.2856945
107.20	1416.40	684.1898016
108.80	1398.90	688.1380628
110.40	1376.70	690.8064626
112.00	1353.60	681.5127623
113.60	1329.50	693.3702799
115.20	1311.30	692.0134779
116.80	1288.90	694.2992634
118.40	1270.00	681.9616652
120.00	1250.10	682.2685452
121.60	1230.90	690.9507744
123.20	1208.70	702.7044728
124.80	1189.40	701.1097526
126.40	1168.60	703.8509309
128.00	1150.00	696.9532849
129.60	1134.70	694.9568432
131.10	1117.85	691.0471845
132.70	1096.55	691.6843748
133.60	1087.20	682.2184642
135.20	1069.10	687.0480069
136.80	1049.80	686.2823997
138.40	1028.60	684.2878428
140.00	1006.00	673.0036014
141.60	980.70	673.7991729
143.20	959.60	663.8873431
