Depth_m	Gas_Age_AD	CH4_ppb
89.79981987	1618	678.4806984
89.80062028	1617.99225	679.4361257
89.80142	1617.9845	682.9710005
89.80221972	1617.97675	674.8883595
89.80302013	1617.969	679.3072598
89.80381985	1617.96125	685.721347
89.80462026	1617.9535	690.386044
89.80541998	1617.94575	686.7227432
89.80621969	1617.938	682.0984238
89.8070101	1617.93025	684.554701
89.80778983	1617.9225	685.9336423
89.80857023	1617.91475	688.3288089
89.80934995	1617.907	683.8435887
89.81012968	1617.89925	695.8891796
89.81091007	1617.8915	688.9454712
89.8116898	1617.88375	681.7297577
89.8124702	1617.876	685.6208659
89.81324993	1617.86825	679.9166176
89.81403033	1617.8605	686.1960045
89.81482006	1617.85275	677.1938108
89.81561977	1617.845	682.7295796
89.81642019	1617.83725	676.7727972
89.8172199	1617.8295	683.6903319
89.81802031	1617.82175	675.2333176
89.81882002	1617.814	674.3134523
89.81961974	1617.80625	676.8167403
89.82041015	1617.7985	679.4381746
89.82118987	1617.79075	677.2615545
89.82197027	1617.783	676.9792465
89.82275	1617.77525	686.1636144
89.82352973	1617.7675	678.6053158
89.82431013	1617.75975	688.7448447
89.82508985	1617.752	683.9159282
89.82587025	1617.74425	691.676474
89.82664998	1617.7365	687.6742809
89.8274297	1617.72875	690.9935381
89.8282201	1617.721	688.9543733
89.82901982	1617.71325	685.1398993
89.82982023	1617.7055	688.2908506
89.83061995	1617.69775	685.2845667
89.83141966	1617.69	687.1249108
89.83222008	1617.68225	683.7454228
89.83301979	1617.6745	680.9052916
89.83382021	1617.66675	687.3644332
89.83460992	1617.659	682.9791385
89.83539033	1617.65125	684.9887146
89.83617005	1617.6435	684.607141
89.83694978	1617.63575	681.4252119
89.83773017	1617.628	679.1781276
89.83850991	1617.62025	682.114642
89.8392903	1617.6125	679.9836783
89.84007002	1617.60475	683.9074776
89.84084975	1617.597	682.4729475
89.84163015	1617.58925	688.8336571
89.84241987	1617.5815	683.9700352
89.84322028	1617.57375	677.8923166
89.84402	1617.566	683.8651088
89.84480972	1617.55825	684.5323937
89.84559013	1617.5505	682.9315026
89.84636985	1617.54275	679.6130905
89.84715025	1617.535	677.3744568
89.84792998	1617.52725	678.0709484
89.8487097	1617.5195	678.024308
89.8494901	1617.51175	677.8754733
89.85026982	1617.504	675.7203269
89.85105023	1617.49625	678.4953307
89.85182995	1617.4885	681.938638
89.85261967	1617.48075	685.8180196
89.85342007	1617.473	682.1370998
89.8542198	1617.46525	681.864539
89.8550102	1617.4575	686.2732639
89.85578993	1617.44975	683.1280659
89.85657032	1617.442	679.0921978
89.85735005	1617.43425	684.3884557
89.85812977	1617.4265	678.8807244
89.85891018	1617.41875	679.7532779
89.8596899	1617.411	674.6787961
89.8604703	1617.40325	670.4589827
89.86125002	1617.3955	677.824434
89.86201975	1617.38775	682.1399475
89.86279015	1617.38	686.7950711
89.86356987	1617.37225	691.6317668
89.86435027	1617.3645	690.0954244
89.86513	1617.35675	689.5539492
89.86590973	1617.349	690.7335721
89.86669012	1617.34125	699.7416003
89.86745985	1617.3335	693.8985769
89.86822024	1617.32575	692.6193874
89.86897998	1617.318	694.7338204
89.86974971	1617.31025	697.5814298
89.87053009	1617.3025	700.3515832
89.87130983	1617.29475	695.8380014
89.87209022	1617.287	704.488546
89.87286995	1617.27925	699.9846766
89.87364967	1617.2715	699.0430481
89.87443008	1617.26375	690.2687543
89.8752098	1617.256	696.541404
89.8759902	1617.24825	700.162336
89.87676992	1617.2405	698.3133329
89.87755033	1617.23275	700.1895516
89.87833005	1617.225	702.9137707
89.87910977	1617.21725	701.4992211
89.87989017	1617.2095	702.0759225
89.8806599	1617.20175	700.6168394
89.88142029	1617.194	704.7477826
89.88218002	1617.18625	704.1936316
89.88293976	1617.1785	704.893677
89.88370015	1617.17075	699.7226153
89.88445988	1617.163	696.0575202
89.88521026	1617.15525	696.2912662
89.88595	1617.1475	695.5895884
89.88668974	1617.13975	692.6334524
89.88742012	1617.132	693.0713441
89.88814986	1617.12425	692.2369456
89.88889023	1617.1165	682.7921372
89.88961998	1617.10875	680.9950069
89.89034971	1617.101	683.7664915
89.8910901	1617.09325	678.890703
89.89181983	1617.0855	680.5998892
89.89255022	1617.07775	679.1245531
89.89328995	1617.07	671.3336778
89.89402969	1617.06225	672.7941963
89.89477007	1617.0545	670.6884918
89.89550981	1617.04675	670.656148
89.89625019	1617.039	666.460031
89.89698993	1617.03125	666.2594623
89.89774031	1617.0235	674.8954441
89.89850005	1617.01575	666.046484
89.89926978	1617.008	669.7808856
89.90005017	1617	672.8301866
89.9008199	1616.9934	676.6042482
89.90158029	1616.9868	678.3426526
89.90234002	1616.9802	684.9300929
89.90309976	1616.9736	685.141439
89.90385014	1616.967	683.7018617
89.90459988	1616.9604	683.4843108
89.90535026	1616.9538	689.3795543
89.90608	1616.9472	682.9754457
89.90679975	1616.9406	678.4589815
89.90751011	1616.934	678.3769875
89.90821986	1616.9274	676.4612478
89.90894023	1616.9208	679.0080275
89.90965997	1616.9142	682.0274388
89.91037972	1616.9076	679.1714366
89.91110009	1616.901	671.2282305
89.91181984	1616.8944	681.1907598
89.9125302	1616.8878	677.1953967
89.91323996	1616.8812	679.2244786
89.9139497	1616.8746	680.0501949
89.91466007	1616.868	672.0971259
89.91536981	1616.8614	682.5950877
89.91607019	1616.8548	686.2358381
89.91677993	1616.8482	688.7801867
89.91749029	1616.8416	685.7497202
89.91820004	1616.835	689.7998502
89.91891979	1616.8284	688.3930798
89.91964016	1616.8218	688.9304338
89.92034991	1616.8152	693.3698471
